,area,name,num,class0,class1,class2
0,syf,dig_A_0.5.csv,50,0.54,0.08,0.38
1,syf,dig_A_1.0.csv,50,0.34,0.0,0.66
2,syf,dig_A_1.5.csv,52,0.057692307692307696,0.038461538461538464,0.9038461538461539
3,syf,dig_A_2.0.csv,51,0.3137254901960784,0.0,0.6862745098039216
4,syf,dig_A_2.5.csv,49,0.3673469387755102,0.04081632653061224,0.5918367346938775
5,syf,dig_A_3.0.csv,48,0.3333333333333333,0.0625,0.6041666666666666
6,syf,dig_A_3.5.csv,48,0.125,0.08333333333333333,0.7916666666666666
7,syf,dig_A_4.0.csv,42,0.023809523809523808,0.023809523809523808,0.9523809523809523
8,syf,dig_A_4.5.csv,42,0.023809523809523808,0.0,0.9761904761904762
9,syf,dig_A_5.0.csv,25,0.0,0.12,0.88
10,syf,dig_A_5.5.csv,37,0.08108108108108109,0.0,0.918918918918919
11,syf,dig_A_6.0.csv,25,0.08,0.0,0.92
12,syf,dig_A_6.5.csv,13,0.07692307692307693,0.07692307692307693,0.8461538461538461
13,syf,dig_A_7.0.csv,14,0.14285714285714285,0.0,0.8571428571428571
14,syf,dig_A_7.5.csv,7,0.14285714285714285,0.42857142857142855,0.42857142857142855
15,syf,dig_B_0.5.csv,52,0.9230769230769231,0.019230769230769232,0.057692307692307696
16,syf,dig_B_1.0.csv,49,0.673469387755102,0.0,0.32653061224489793
17,syf,dig_B_1.5.csv,51,0.43137254901960786,0.0,0.5686274509803921
18,syf,dig_B_2.0.csv,48,0.14583333333333334,0.0,0.8541666666666666
19,syf,dig_B_2.5.csv,50,0.34,0.0,0.66
20,syf,dig_B_3.0.csv,51,0.35294117647058826,0.0196078431372549,0.6274509803921569
21,syf,dig_B_3.5.csv,50,0.32,0.02,0.66
22,syf,dig_B_4.0.csv,47,0.0851063829787234,0.0,0.9148936170212766
23,syf,dig_B_4.5.csv,43,0.06976744186046512,0.0,0.9302325581395349
24,syf,dig_B_5.0.csv,23,0.043478260869565216,0.0,0.9565217391304348
25,syf,dig_B_5.5.csv,19,0.10526315789473684,0.0,0.8947368421052632
26,syf,dig_B_6.0.csv,27,0.1111111111111111,0.0,0.8888888888888888
27,syf,dig_B_6.5.csv,25,0.08,0.0,0.92
28,syf,dig_B_7.0.csv,3,0.0,0.0,1.0
29,syf,dig_B_7.5.csv,13,0.15384615384615385,0.07692307692307693,0.7692307692307693
30,syf,jump_A_0.5.csv,49,0.20408163265306123,0.6122448979591837,0.1836734693877551
31,syf,jump_A_1.0.csv,50,0.02,0.88,0.1
32,syf,jump_A_1.5.csv,29,0.13793103448275862,0.5862068965517241,0.27586206896551724
33,syf,jump_A_2.0.csv,27,0.1111111111111111,0.8148148148148148,0.07407407407407407
34,syf,jump_A_2.5.csv,25,0.16,0.72,0.12
35,syf,jump_A_3.0.csv,22,0.3181818181818182,0.5909090909090909,0.09090909090909091
36,syf,jump_A_3.5.csv,26,0.19230769230769232,0.5,0.3076923076923077
37,syf,jump_A_4.0.csv,14,0.35714285714285715,0.6428571428571429,0.0
38,syf,jump_A_4.5.csv,3,0.0,0.6666666666666666,0.3333333333333333
39,syf,jump_A_5.0.csv,2,0.0,0.5,0.5
40,syf,jump_A_5.5.csv,1,0.0,0.0,1.0
41,syf,jump_A_6.0.csv,0,0.0,0.0,0.0
42,syf,jump_B_0.5.csv,48,0.22916666666666666,0.4375,0.3333333333333333
43,syf,jump_B_1.0.csv,40,0.35,0.375,0.275
44,syf,jump_B_1.5.csv,25,0.2,0.0,0.8
45,syf,jump_B_2.0.csv,20,0.2,0.0,0.8
46,syf,jump_B_2.5.csv,14,0.14285714285714285,0.07142857142857142,0.7857142857142857
47,syf,jump_B_3.0.csv,23,0.17391304347826086,0.13043478260869565,0.6956521739130435
48,syf,jump_B_3.5.csv,22,0.22727272727272727,0.0,0.7727272727272727
49,syf,jump_B_4.0.csv,3,0.3333333333333333,0.0,0.6666666666666666
50,syf,jump_B_4.5.csv,8,0.125,0.0,0.875
51,syf,jump_B_5.0.csv,1,0.0,0.0,1.0
52,syf,jump_B_5.5.csv,1,0.0,0.0,1.0
53,syf,jump_B_6.0.csv,0,0.0,0.0,0.0
54,syf,walk_A_0.5_hard.csv,34,0.23529411764705882,0.058823529411764705,0.7058823529411765
55,syf,walk_A_0.5_normal.csv,1,1.0,0.0,0.0
56,syf,walk_A_1.0_hard.csv,17,0.29411764705882354,0.17647058823529413,0.5294117647058824
57,syf,walk_A_1.0_normal.csv,0,0.0,0.0,0.0
58,syf,walk_A_1.5_hard.csv,24,0.041666666666666664,0.0,0.9583333333333334
59,syf,walk_A_1.5_normal.csv,0,0.0,0.0,0.0
60,syf,walk_A_2.0_hard.csv,24,0.08333333333333333,0.0,0.9166666666666666
61,syf,walk_A_2.0_normal.csv,0,0.0,0.0,0.0
62,syf,walk_A_2.5_hard.csv,3,0.0,0.0,1.0
63,syf,walk_A_3.0_hard.csv,3,0.0,0.0,1.0
64,syf,walk_A_3.5_hard.csv,16,0.1875,0.0,0.8125
65,syf,walk_A_4.0_hard.csv,0,0.0,0.0,0.0
66,syf,walk_A_4.5_hard.csv,0,0.0,0.0,0.0
67,syf,walk_A_5.0_hard.csv,0,0.0,0.0,0.0
68,syf,walk_A_5.5_hard.csv,0,0.0,0.0,0.0
69,syf,walk_A_6.0_hard.csv,0,0.0,0.0,0.0
70,syf,walk_B_0.5_hard.csv,13,0.23076923076923078,0.0,0.7692307692307693
71,syf,walk_B_0.5_normal.csv,1,1.0,0.0,0.0
72,syf,walk_B_1.0_hard.csv,37,0.02702702702702703,0.0,0.972972972972973
73,syf,walk_B_1.0_normal.csv,0,0.0,0.0,0.0
74,syf,walk_B_1.5_hard.csv,22,0.09090909090909091,0.0,0.9090909090909091
75,syf,walk_B_1.5_normal.csv,0,0.0,0.0,0.0
76,syf,walk_B_2.0_hard.csv,21,0.047619047619047616,0.0,0.9523809523809523
77,syf,walk_B_2.0_normal.csv,0,0.0,0.0,0.0
78,syf,walk_B_2.5_hard.csv,4,0.5,0.0,0.5
79,syf,walk_B_3.0_hard.csv,9,0.5555555555555556,0.0,0.4444444444444444
80,syf,walk_B_3.5_hard.csv,2,0.5,0.0,0.5
81,syf,walk_B_4.0_hard.csv,0,0.0,0.0,0.0
82,syf,walk_B_4.5_hard.csv,0,0.0,0.0,0.0
83,syf,walk_B_5.0_hard.csv,0,0.0,0.0,0.0
84,syf,walk_B_5.5_hard.csv,0,0.0,0.0,0.0
